identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
4245,http://openn.library.upenn.edu/Data/0024/html/mc16_v1.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Mary V. Clymer Diary, Lecture Notes, 1886-1889, MC 16 v. 1",1886-1889,,"Clymer, Mary V.","This image and the content of MC 16 v. 1 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Clymer, Mary V. | Hospital of the University of Pennslyvania | Nursing School | Nurses | Student | Pennsylvania--Philadelphia | Manuscripts, American--19th century | Hospital of the University of Pennsylvania",text,166 pages,34th and Spruce Philadelphia (Pa.),"Diaries of notes from Mary V. Clymer, a nurse famous for her appearance in Thomas Eakins' painting ""The Agnew Clinic."" Clymer was a student at the Training School for Nurses at the Hospital of the University of Pennsylvania, Philadelphia, PA, from 1888 to 1889. The notes documented the variety of experiences which were part of her educational program.",,Mary V. Clymer papers,N,,,
4246,http://openn.library.upenn.edu/Data/0024/html/mc16_v2.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Mary V. Clymer Diary, 1886-1889, MC 16 v. 2",1886-1889,,"Clymer, Mary V.","This image and the content of MC 16 v. 2 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Clymer, Mary V. | Hospital of the University of Pennslyvania | Nursing School | Nurses | Student | Pennsylvania--Philadelphia | Manuscripts, American--19th century | Hospital of the University of Pennsylvania",text,213 pages,34th and Spruce Philadelphia (Pa.),"Diaries of notes from Mary V. Clymer, a nurse famous for her appearance in Thomas Eakins' painting ""The Agnew Clinic."" Clymer was a student at the Training School for Nurses at the Hospital of the University of Pennsylvania, Philadelphia, PA, from 1888 to 1889. The notes documented the variety of experiences which were part of her educational program.",,Mary V. Clymer papers,N,,,
7056,http://openn.library.upenn.edu/Data/0024/html/mc144_v1.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1881, MC 144 v. 1",1881-11 - 1882-03,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 1 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,138 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7058,http://openn.library.upenn.edu/Data/0024/html/mc144_v2.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1882, MC 144 v. 2",1882-05 - 1882-06,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 2 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,128 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7059,http://openn.library.upenn.edu/Data/0024/html/mc144_v3.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1882, MC 144 v. 3",1882,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 3 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,297 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7060,http://openn.library.upenn.edu/Data/0024/html/mc144_v4.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1883, MC 144 v. 4",1883-01 - 1883-04,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 4 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,114 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7061,http://openn.library.upenn.edu/Data/0024/html/mc144_v5.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1883, MC 144 v. 5",1883-10 - 1883-11,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 5 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,120 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7062,http://openn.library.upenn.edu/Data/0024/html/mc144_v6.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1883, MC 144 v. 6",1883,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 6 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,156 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7064,http://openn.library.upenn.edu/Data/0024/html/mc144_v7.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1883, MC 144 v. 7",1883,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 7 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,415 pages,Philadelphia (Pa.),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7066,http://openn.library.upenn.edu/Data/0024/html/mc144_v8.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1884, MC 144 v. 8",1884,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 8 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,225 pages,New York (State),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7067,http://openn.library.upenn.edu/Data/0024/html/mc144_v9.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1885, MC 144 v. 9",1885,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 9 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,429 pages,New York (State),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7063,http://openn.library.upenn.edu/Data/0024/html/mc144_v10.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1886, MC 144 v. 10",1886,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 10 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,177 pages,New York (State),"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7071,http://openn.library.upenn.edu/Data/0024/html/mc144_v11.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1887, MC 144 v. 11",1887,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 11 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,203 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7072,http://openn.library.upenn.edu/Data/0024/html/mc144_v12.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1888, MC 144 v. 12",1888,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 12 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,412 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7073,http://openn.library.upenn.edu/Data/0024/html/mc144_v13.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1889, MC 144 v. 13",1889,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 13 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,262 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7074,http://openn.library.upenn.edu/Data/0024/html/mc144_v14.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1890, MC 144 v. 14",1890,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 14 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,262 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7075,http://openn.library.upenn.edu/Data/0024/html/mc144_v15.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1891, MC 144 v. 15",1891,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 15 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,162 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7076,http://openn.library.upenn.edu/Data/0024/html/mc144_v16.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1892, MC 144 v. 16",1892,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 16 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,190 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
7077,http://openn.library.upenn.edu/Data/0024/html/mc144_v17.html,"Barbara Bates Center for the Study of the History of Nursing; University of Pennsylvania School of Nursing","Chloe Cudsworth Littlefield papers, 1893, MC 144 v. 17",1893,,"Littlefield, Chloe Cudsworth","This image and the content of MC 144 v. 17 are free of known copyright restrictions and in the public domain. See the Creative Commons Public Domain Mark page for usage details, http://creativecommons.org/publicdomain/mark/1.0/.",eng,"Littlefield, Chloe Cudsworth | Nurses | Diaries | Manuscripts, American--19th century",text,204 pages,Massachusetts,"Chloe Cudsworth Littlefield diaries, 1883-1898, during her years as a private duty nurse in New York and in Springfield, Massachusetts. Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883.",,Chloe Cudsworth Littlefield papers,N,,,
