"contributing repository -  this field can go, wasn't sure if might be needed","identifier","subject","spatial","full text",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F103_001","Stewart, Mary Elene| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine | Medical women","Lawnside, Camden County, New Jersey, United States| 39.868324,-75.029674",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F112_001","Wainwright, Alice Florence| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| New York State Nurses Association| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","542 Carlton Avenue, Brooklyn, New York City, New York, United States | 0.680650, -73.971514",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F112_002","Wainwright, Alice Florence| Braxton, Gwendolyn E.| Kings County Hospital (Kings County, N.Y.)| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","451 Clarkson Avenue, Kings County Hospital, Brooklyn, New York City, New York, United States | 40.656719, -73.94617",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F112_003","Wainwright, Alice Florence| Mullen, Mary| Kings County Hospital (Kings County, N.Y.)| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","451 Clarkson Avenue, Kings County Hospital, Brooklyn, New York City, New York, United States | 40.656719, -73.94617",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F112_004","Wainwright, Alice Florence| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_001","Welch, Lillian E.| African American nurses| Minority women| Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_002","Welch, Lillian E.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","171 Jones Street, Bluefield, West Virginia, United States| 16th St and Lombard St, Philadelphia, Philadelphia County, Pennsylvania, United States| ",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_003","Welch, Lillian E.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","171 Jones Street, Bluefield, West Virginia, United States| 16th St and Lombard St, Philadelphia, Philadelphia County, Pennsylvania, United States| ",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_004","Welch, Lillian E.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","171 Jones Street, Bluefield, West Virginia, United States| 16th St and Lombard St, Philadelphia, Philadelphia County, Pennsylvania, United States| ","[Page 1]
171 Jones Street
Bluefield. W. Va.
10-16-’15
 
Miss E. M. Browne,
Supt. of. Nurses,
 
Frederick Douglas Hospital
Lombard + Sixteenth Street.
Philadelphia.
 
Dear Miss Browne,
Upon the arrival of your letter of the 4th I was out of town. + [and] just [Page 2] came in today + [and] found it here. I regret very much to have not let you heard from me before this date.
 
No I didn’t say I was a graduate of. B.C.I. [Bluefield Colored Institute] but finished the High School work there.
 
These are my marks from my last terms work, + this year I am taking 3rd. yr, normal work.
 
Let me have your answer as soon as possible please.
 
Truly yours. L. E. Welch.
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_006","Welch, Lillian E.| Bluefield Colored Institute| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Bluefield Colored Institute, Bluefield, Mercer County, West Virginia, United States| 37.26623, -81.23821",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_007","Welch, Lillian E.| Rogers, Clarence A., Dr.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Bluefield, Mercer County, West Virginia, United States","Dr. Clarence A. Rogers
Bluefield, W. VA.
Sept 12, 1915
I hereby certify that Miss Gillian Welch is physically qualified to perform duties as nurse.
C A Rogers M.D.
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_008","Welch, Lillian E.| Pickett, J. A. (Pastor)| Brown, E. N. (Nurse)| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| Raleigh Street Methodist Church| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Bluefield, Mercer County, West Virginia, United States| 16th St and Lombard St, Philadelphia, Philadelphia County, Pennsylvania, United States","Bluefield, W. Va. Sept 19/15
 
To Miss. E. N. Brown, Head Nurse
at F. Douglas Memorial Hospital of Phil-
adelphia, Pa.
 
This is to certify that I have known
the [?] Miss Lillian Welch, for some
years. She is a regular attendant and
worshipper of the church which I am
pastor and have been for 3 years.
She is a young woman of the best stand-
ing in this her home community and
her morals are unquestioned. She is one
of the race’s best young women.
I, therefore take great pleasure, as her
pastor, to recommend her.
 
Very [respectfully?]
J. A. Pickett
Pastor of
Raleigh St. M. E. Church
of Bluefield, W. A. 
Box 109
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F113_009","Welch, Lillian E.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","16th St and Lombard St, Philadelphia, Philadelphia County, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_001","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_002","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_004","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_005","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_006","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_007","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_008","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_021","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F116_023","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_001","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| Minority women| Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_002","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","595 East Water Street, Milwaukee, Wisconsin, United States| 43.037328, -87.90895",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_003","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","595 East Water Street, Milwaukee, Wisconsin, United States| 43.037328, -87.90895","595 E. Water Street
Milwaukee, Wis
October 15-1915
 
To Superintendent of Training School
 
Dear Madame:
 
As the Chicago school is over run, I would like for you to please inform me if there is an opening or how soon will you have one for an applicant with good letters. I would like to enter about the first of the year. If you can use me please let me know at once and oblige
 
Mabel Williams
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_004","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","595 East Water Street, Milwaukee, Wisconsin, United States| 43.037328, -87.90895","595 E. Water Street
Milwaukee, Wis
October 19-1915
 
Miss E.M. Browne:-
 
Your letter was received and contents carefully noted. I have read and clearly understand the foregoing conditions and regulations, also declare my statements to be correct. I am sending a letter from my Pastor and Physician. If they are agreeable please state whether or not the uniforms are furnished, if not, what they consist of. Hoping that my application will meet your approval.
 
I am at your service
 
Very truly yours
 
Mabel Williams
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_005","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","605-606 Majestic Bldg, Milwaukee, Wis.| 43.057891,-87.96743",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_006","Williams, Mabel| Jenkins, J.W.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","1610 Michigan Avenue, Antioch Baptist Church, Kansas City, Missouri, United States| 39.094727, -94.559803",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F119_007","Williams, Mabel| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","595 East Water Street, Milwaukee, Wisconsin, United States| 43.037328, -87.90895",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F16_001","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_001","Ennis, Mildred Lillian| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| Minority women| Medical women","120 Emerson Street, Providence, Providence County, Rhode Island, United States| 41.79491, -71.414217",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_002","Ennis, Mildred Lillian| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","120 Emerson Street, Providence, Providence County, Rhode Island, United States| 41.79491, -71.414217","Form No. A
Douglass Hospital
Philadelphia
 
Name: Evelyn G. Barnum
Nativity: Pennsylvania
Age:
Address: Loganton, PA
Name of Nearest Relative: Mother Mrs. Barnum
Address: Loganton, PA
Preliminary Education: High School
Religion: Methodist
Date of Admission: July 1st 1915
Date of Acceptance: October 1st 1915
Graduation: June 20th 1917
Training Completed: October 1st 1917
 
[Page 15 - Frederick Douglass Memorial Hospital Training School Application, Student: Mildred Lillian Ennis, 1916]
 
This paper is to be filled out (in the Candidate’s handwriting) and sent to (Miss) E. M. Browne Supt. of Nurses of the Frederick  Douglass Memorial Hospital and Training School, Philadelphia
 
1. Name in full and present address of Candidate
Mildred Lillian Ennis
120 Emerson Street
 
2. Name in full and the address of some relative
Mrs. Harriet Jackson
307 Thayer Street
 
3. Are you a single woman or widow?
Single
 
4. Your present occupation or employment?
Maid
 
5. Age last birthday, and date and place of birth?
Twenty, June 26 1896
Providence R.I.
 
6. Height and weight?
Five feet, three inches
One hundred fifteen
 
7. a. Where educated? b. Are you a graduate, high school or college
Providence Public Schools
One year high school No
 
8. Are you strong and healthy? and have you always been so?
Yes. Yes.
No. Yes.
 
9. Have you any physical defect? And your hearing and eyesight good?
 
10. If a widow, have you children? how many? Their ages? How are they provided for?
 
11. Are you otherwise free from domestic responsibility, so that you will not be liable to be called away?
Yes.
 
12. Where (if any) was your last situation? How long were you in it?
I am now employed as
maid. At most one year.
 
13. The names in full and addresses of two persons to be referred to. State how long each has known you. If previously employed, one of these must be the last employer; one of them shall not be a relative.
Mrs. Shocum’s Maury Street
Mrs. G. G. Pettie, 96 Saber Ave
 
14. Have you ever been in any Training School? If so, where?
No 
15. Have you read and do you clearly understand this paper?
Yes
Having read and clearly understanding the foregoing conditions and regulations, I declare the above statement to be correct. 
 
Signed: (Miss) Mildred L. Ennis
 
Date: January 1, 1916
 
Present Address: 120 Emerson Street
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_003","Ennis, Mildred Lillian| Browne, E. M.| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Providence, Providence County, Rhode Island, United States| 41.823989, -71.412834","[Correspondence with training school's superintendent of nurses, page 1 of 2]
 
Miss E. M. Browne,
 
Dear Madame,
My education after leaving
High School was devoted to music both
vocal and piano. I went to work to pay
my tuition for my lessons but finally
had to give up music as it was so
expensive. I have been a teacher in
piano to beginners and I am well known
throughout Providence as a soloist in
church and private concerts etc.
Before being employed at my
present occupation I was employed
for several months as nurse maid for
 
[Correspondence with training school's superintendent of nurses, page 2 of 2]
 
two small boys (twins) having full charge
before leaving their employment their
parents Mr. and Mrs. Bartlett on 253
President Avenue, Providence, Rhode
Island gave me an excellent reference.
I have also studied and am interested
in psychology and efficiency. 
I [?] that I have ability to nurse.
I hope that I will hear from you
soon. I am,
Very truly,
(Miss) Mildred L. Ennis
120 Emerson Street
Providence, R.I. 
",,,,,,,,,,,
