identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
rg422_b1_f6,https://digital.history.pcusa.org/islandora/object/islandora:159717,Presbyterian Historical Society,"Ballston Female Heathen School Society correspondence from recipients of support, 181-1885",1821-1885,approximately 1821-1885,Ballston Female Heathen School Society,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,Ballston Female Heathen School Society|American Board of Commissioners for Foreign Missions|Princeton Theological Seminary|Women in missionary work|Women--Societies and clubs|Ballston (N.Y. : Town)|Manuscripts|Correspondence,text,64 pages,Ballston (N.Y. : Town),"Correspondence from recipients of support, 1821-1885, with some material undated.",,Ballston Female Heathen School Society records,n,,,
rg422_b1_f5,https://digital.history.pcusa.org/islandora/object/islandora:159782,Presbyterian Historical Society,"Ballston Female Heathen School Society acknowledgments of contributions, approximately 1819-1884",1819-1884,approximately 1819-1884,Ballston Female Heathen School Society,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,Ballston Female Heathen School Society|American Board of Commissioners for Foreign Missions|Princeton Theological Seminary|Women in missionary work|Women--Societies and clubs|Ballston (N.Y. : Town)|Financial records|Acknowledgments,text,77 pages,Ballston (N.Y. : Town),"Acknowledgments of contributions, 1819-1884, with some material undated.",,Ballston Female Heathen School Society records,n,,,
rg422_b1_f4,https://digital.history.pcusa.org/islandora/object/islandora:159709,Presbyterian Historical Society,"Ballston Female Heathen School Society subscriber roll, 1817-1824",1817-1924, ,Ballston Female Heathen School Society,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,Ballston Female Heathen School Society|American Board of Commissioners for Foreign Missions|Princeton Theological Seminary|Women in missionary work|Women--Societies and clubs|Ballston (N.Y. : Town)|Financial records|Registers (lists),text,4 pages,Ballston (N.Y. : Town),"Subscriber roll with contributions, 1817-1824.",,Ballston Female Heathen School Society records,n,,,
rg422_b1_f3,https://digital.history.pcusa.org/islandora/object/islandora:159860,Presbyterian Historical Society,"Ballston Female Heathen School Society annual reports, 1820, 1822-1824, 1850",1820-1850,1820; 1822-1824; 1850,Ballston Female Heathen School Society,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,Ballston Female Heathen School Society|American Board of Commissioners for Foreign Missions|Princeton Theological Seminary|Women in missionary work|Women--Societies and clubs|Ballston (N.Y. : Town)|Annual reports,text,20 pages,Ballston (N.Y. : Town),"Annual reports for 1820, 1822, 1823, 1824, and 1850.",,Ballston Female Heathen School Society records,n,,,
rg422_b1_f2,https://digital.history.pcusa.org/islandora/object/islandora:159714,Presbyterian Historical Society,"Ballston Female Heathen School Society constitution, 1817",1817,,Ballston Female Heathen School Society,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng ,Ballston Female Heathen School Society|American Board of Commissioners for Foreign Missions|Princeton Theological Seminary|Women in missionary work|Women--Societies and clubs|Ballston (N.Y. : Town)|Constitutions,text,2 pages,Ballston (N.Y. : Town),The constitution of the Ballston Female Heathen School Society which was founded in 1817 to support the work of the American Board of Commissioners for Foreign Missions and the Princeton Theological Seminary.,,Ballston Female Heathen School Society records,n,,,
rg392_b1_f8,https://digital.history.pcusa.org/islandora/object/islandora:158765,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, approximately 1854-1888",1854-1888,approximately 1854-1888,"Johnson, Rachel Kerr, 1837-1888|Kerr, Stella|Kerr, Samuel|Kerr, Mary Swaney|Johnson, Jane, 1870-|Kerr, Frank|Johnson, Mary Ella, 1864-","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng|urd,"Johnson, Rachel Kerr, 1837-1888|Steubenville Female Seminary|Biddle University|Presbyterian Church--Missions--India|Women in missionary work--India--19th century|Steubenville (Ohio)|Firozabad (India)|Hookstown (Pa.)|Fatehpur (India : District)|Mainpuri (India)|Clippings|Archives|Correspondence",text,49 pages,Steubenville (Ohio)|Firozabad (India)|Hookstown (Pa.)|Fatehpur (India : District)|Mainpuri (India),"Includes clippings about: the death of William Johnson's brother and sister-in-law, Albert and Amanda, from 1857; the death of Rachel and William's son, Eddie (Edwin) Johnson; the death of William Johnson, ca| 1926; and the wedding of Jennie (Jane) Johnson, daughter of Rachel and William|",,Rachel Kerr Johnson papers,n,,,
rg392_b1_f7,https://digital.history.pcusa.org/islandora/object/islandora:158815,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1886-1888",1886-1888, ,"Johnson, Rachel Kerr, 1837-1888|Johnson, Mary Ella, 1864-|Kerr, Helen Rachel|Kerr, David, Jr.|Kerr, Mary Swaney|Johnson, Edwin, 1865-1890|Johnson, Jane, 1870-|Kerr, Frank|Kerr, Susan Nelson|Johnson, William F., 1838-1926","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Biddle University|Presbyterian Church--Missions|Women in missionary work--India--19th century|Women missionaries--India--19th century|Returned missionaries--North Carolina--Charlotte|Washington (D.C.)|Hookstown (Pa.)|Claysville (Pa.)|Charlotte (N.C.)|Archives|Correspondence",text,95 pages,Washington (D.C.)|Hookstown (Pa.)|Claysville (Pa.)|Charlotte (N.C.)|India,Primarily letters from Rachel and William to their children| Some letters written by daughter Mary|,,Rachel Kerr Johnson papers,n,,,
rg392_b1_f6,https://digital.history.pcusa.org/islandora/object/islandora:159355,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1881-1885",1881-1885, ,"Johnson, Rachel Kerr, 1837-1888|Kerr, Frank|Johnson, William F., 1838-1926|Kerr, David, Jr.|Kerr, Mary Swaney|Johnson, Mary Ella, 1864-|Johnson, Jane Rex|Johnson, Jane, 1870-","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Steubenville Female Seminary|Presbyterian Church--Missions--India|Women in missionary work--India--19th century|Women missionaries--India--19th century|Evangelistic work--India|Washington (D.C.)|Allahabad (India)|Hookstown (Pa.)|Landour Cantonment (India)|Steubenville (Ohio)|Archives|Correspondence",text,174 pages,Washington (D.C.)|Allahabad (India)|Hookstown (Pa.)|Landour Cantonment (India)|Steubenville (Ohio),Primarily letters from Rachel and William to their children Mary and Eddie (Edwin) Johnson| Some letters written by daughter Jennie (Jane)|,,Rachel Kerr Johnson papers,n,,,
rg392_b1_f5,https://digital.history.pcusa.org/islandora/object/islandora:160148 ,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1871-1880",1871-1880, ,"Johnson, Rachel Kerr, 1837-1888|Johnson, William F., 1838-1926|Johnson, David|Johnson, Jane Rex|Johnson, Mary Ella, 1864-|Johnson, Edwin, 1865-1890|Kerr, Mary Swaney|Kerr, David, Jr.|Kerr, Stella","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Presbyterian Church--Missions--India|Women in missionary work--India--19th century|Women missionaries--India--19th century|Evangelistic work--India|Mainpuri (India)|Allahabad (India)|Archives|Correspondence",text,57 pages,Mainpuri (India)|Allahabad (India),Primarily letters from Rachel and William to their children Mary and Eddie (Edwin) Johnson|,,Rachel Kerr Johnson papers,n,,,
rg392_b1_f4,https://digital.history.pcusa.org/islandora/object/islandora:159530,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1866-1870",1866-1870, ,"Johnson, Rachel Kerr, 1837-1888|Kerr, Mary Swaney|Kerr, David, Jr.|Kerr, Frank|Kerr, Stella|Johnson, William F., 1838-1926|Johnson, David|Johnson, Jane Rex","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Presbyterian Church--Missions--India|Women in missionary work--India--19th century|Women missionaries--India--19th century|Evangelistic work--India|Fatehgarh (India)|Hookstown (Pa.)|Uttar Pradesh (India)|Mainpuri (India)|Archives|Correspondence",text,177 pages,Fatehgarh (India)|Hookstown (Pa.)|Uttar Pradesh (India)|Mainpuri (India),Primarily letters from Rachel to her family while she was a missionary in India|,,Rachel Kerr Johnson papers,n,,,
rg392_b1_f3,https://digital.history.pcusa.org/islandora/object/islandora:158968,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1860-1865",1860-1865, ,"Johnson, Rachel Kerr, 1837-1888|Kerr, Samuel|Kerr, Mary Swaney|Kerr, Frank|Kerr, David, Jr.|Johnson, William F., 1838-1926|Kerr, Stella|Johnson, Margaret|Kerr, David, Sr.|Kerr, Rachel Moore","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Presbyterian Church--Missions--India|Women in missionary work--India--19th century|Women missionaries--India--19th century|Evangelistic work--India|Fatehpur (India : District)|Allahabad (India)|Hookstown (Pa.)|Waterbury (Conn.)|Cataract House (Niagara Falls, N.Y.)|Archives|Correspondence",text,328 pages,"Fatehpur (India : District)|Allahabad (India)|Hookstown (Pa.)|Waterbury (Conn.)|Cataract House (Niagara Falls, N.Y.)","Primarily letters from Rachel to her family while she was a missionary in India| Includes letters written at sea and letters discussing the death of Rachel and William's first son, Willie, in 1864|",,Rachel Kerr Johnson papers,n,,,
rg392_b1_f2,https://digital.history.pcusa.org/islandora/object/islandora:158911,Presbyterian Historical Society,"Rachel Kerr Johnson correspondence, 1854-1859",1854-1859, ,"Johnson, Rachel Kerr, 1837-1888|Kerr, Samuel|Kerr, Mary Swaney|Kerr, Frank|Kerr, David, Jr.","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Johnson, Rachel Kerr, 1837-1888|Steubenville Female Seminary|Presbyterian Church--Missions--India|Women in missionary work--India|Female seminaries--Ohio--Steubenville|Steubenville (Ohio)|Archives|Correspondence",text,56 pages,Steubenville (Ohio)|India,Primarily letters from Rachel to her family while she was at Steubenville Female Seminary|,,Rachel Kerr Johnson papers,n,,,
