identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,contributor,isPartOf,full text available (y/n)?,description link
MSS0477_F001_001,http://udspace.udel.edu/handle/19716/24294,University of Delaware. Library.,"Call to Women Voters by Anne Martin, Chairman National Woman's Party",1869-1955,undated,"Martin, Anne, 1875-1951","Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Handbills,text,,,National Woman's Party handbill asking that women vote against Mr. Wilson and the Democratic candidates in the United States Senate and House.,National Woman's Party,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F002_001,http://udspace.udel.edu/handle/19716/24295,University of Delaware. Library.,"""Votes for Women a Success, The Map Proves it""",1910-1920,approximately 1915,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Handbills,text,,,Handbill depicts a map of the United States indicating where women have the vote and to what degree.,"National Woman Suffrage Publishing Company, Inc.",,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F003_001,http://udspace.udel.edu/handle/19716/24296,University of Delaware. Library.,"""People say"" and ""We say""",1869-1955,undated,National American Woman Suffrage Association,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | National American Woman Suffrage Association | Handbills,text,,,Handbill provides list of rebuttals to arguments against woman suffrage.,National American Woman Suffrage Association,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F004_001,http://udspace.udel.edu/handle/19716/24297,University of Delaware. Library.,"""Catholic Opinions""",1909-1919,approximately 1914,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | National American Woman Suffrage Association | Handbills,text,,,National American Woman Suffrage Association handbill clarifying that the Catholic Church is not opposed to woman suffrage.,"National Woman Suffrage Publishing Company, Inc.",,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F005_001,http://udspace.udel.edu/handle/19716/24298,University of Delaware. Library.,"""10 Women Anywhere Can Start Anything""",1948,,Congress of American Women,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Congress of American Women | Leaflets (printed works),text,,,Leaflet about the Congress of American Women.,Congress of American Women,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F006_001,http://udspace.udel.edu/handle/19716/24299,University of Delaware. Library.,"""A Bit of History""",1908,,"Catt, Carrie Chapman, 1859-1947","Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,"Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Catt, Carrie Chapman, 1859-1947 | Interurban Woman Suffrage Council | Leaflets (printed works)",text,,,"Interurban Woman Suffrage Series, No. 5; leaflet opposing amendment to the New York State Constitution.",New York: Interurban Woman Suffrage Council,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F007_001,http://udspace.udel.edu/handle/19716/24300,University of Delaware. Library.,"""Suffrage as a War Measure""",1917,,New York State Woman Suffrage Party,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | New York State Woman Suffrage Party | Leaflets (printed works) ,text,,,Leaflet from New York State Woman Suffrage Party.,New York State Woman Suffrage Party,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F008_001,http://udspace.udel.edu/handle/19716/24301,University of Delaware. Library.,Vote for the Amendment in 1915,1910-1920,approximately 1915,Empire State Campaign Committee,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Empire State Campaign Committee | Handbills,text,,,"Handbill depicts a young woman at a chalkboard on which is written ""Question. How can this be a government of the people, by the people if only ½ the people vote?"" Before her sits a man labeled ""anti-suffragist."" The bottom of the handbill reads ""Empire State Campaign"" and ""Vote for the Amendment in 1915.""",Empire State Campaign Committee,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F009_001,http://udspace.udel.edu/handle/19716/24302,University of Delaware. Library.,"""The Change in the Status of Women Makes Votes for Women the Next Natural Step""",1906-1916,approximately 1911,Equal Suffrage League of Virginia.,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Equal Suffrage League of Virginia | Handbills,text,,,,Equal Suffrage League of Virginia,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
MSS0477_F010_001,http://udspace.udel.edu/handle/19716/24303,University of Delaware. Library.,"""Woman in the home""",1912,,,"Use of materials from this collection beyond the exceptions provided for in the Fair Use and Educational Use clauses of the U.S. Copyright Law may violate federal law. Permission to publish or reproduce is required from the copyright holder. Please contact Special Collections Department, University of Delaware Library, https://library.udel.edu/static/purl.php?askspec",eng,Women--Suffrage--United States--History--20th century | Women's rights--United States--History--20th century | Handbills,text,,,Pro-suffrage handbill printed in Boston.,,,"Woman Suffrage collection, MSS 0477",n,library.udel.edu/static/purl.php?mss0477
