Institution,OAI or CSV?,Collection name (detailed),Collection name (clean)
Alice Paul Institute,CSV,Marjory Nelson Collection,Marjory Nelson Collection
Alice Paul Institute,CSV,Alice Paul Archives (Second Accession),Alice Paul Archives
Athenaeum of Philadelphia,CSV,Sarah Josepha Hale Collection,Sarah Josepha Hale Collection
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,CSV,Chloe Cudsworth Littlefield papers,Chloe Cudsworth Littlefield papers
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,CSV,Mary V. Clymer papers,Mary V. Clymer papers
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,CSV,"Mercy Douglass Hospital records, MC78",Mercy Douglass Hospital records
Bryn Mawr College,OAI,"M. Carey Thomas Papers, 1853-1935",M. Carey Thomas papers
Bryn Mawr College,OAI,"Mary Whitall Worthington papers, 1906-1911",Mary Whitall Worthington papers
Catholic Historical Research Center of the Archdiocese of Philadelphia,CSV,"Martin-Campbell-Furlong Family Papers, MC 90",Martin-Campbell-Furlong Family papers
Catholic Historical Research Center of the Archdiocese of Philadelphia,CSV,"Periodical collection, CHRC",Periodical collection
Chester County History Center,CSV,Anna M. Sheeder diaries,Anna M. Sheeder diaries
Chester County History Center,CSV,Jean Kane Foulke papers,Jean Kane Foulke papers
Chester County History Center,CSV,Women’s Suffrage and Civil Rights Collection,Women’s Suffrage and Civil Rights Collection
Chester County Archives and Record Services,CSV,Chester County Board of Commissioners (RG1000),Chester County Board of Relief records
The College of Physicians of Philadelphia Historical Medical Library,CSV,Sophia Perry diaries (MSS 2/325),Sophia Perry diaries
Drexel University College of Medicine Legacy Center,OAI,Ada Peirce McCormick papers--ACC-164,Ada Peirce McCormick papers
Drexel University College of Medicine Legacy Center,OAI,"American Women's Hospital Service, 1917-1920--ACC-144",American Women's Hospital Service records
Drexel University College of Medicine Legacy Center,OAI,Isabel Stein Collection on Elizabeth Cisney Smith--ACC-2007.002,Elizabeth Cisney Smith papers
Drexel University College of Medicine Legacy Center,OAI,Marion Craig Potter papers--ACC-138,Marion Craig Potter papers
Drexel University College of Medicine Legacy Center,OAI,Mary Pauline Root papers--ACC-257,Mary Pauline Root papers
Drexel University College of Medicine Legacy Center,OAI,"West Philadelphia Hospital for Women records, 1889-1932--ACC-001",West Philadelphia Hospital for Women records
Drexel University College of Medicine Legacy Center,OAI,"Martha Dunn Corey papers, 1877-1907--ACC-322",Martha Dunn Corey papers
Drexel University College of Medicine Legacy Center,OAI,"Anna M Fullerton diaries, 1915-1920--ACC-1992.012",Anna M Fullerton diaries
Drexel University College of Medicine Legacy Center,OAI,"Merle Mosier Potter papers, 1909-1920--ACC-202",Merle Mosier Potter papers
Drexel University College of Medicine Legacy Center,OAI,The Woman's Hospital of Philadelphia records--ACC-002,The Woman's Hospital of Philadelphia records
Drexel University College of Medicine Legacy Center,OAI,Laura Heath Hills papers--ACC-126,Laura Heath Hills papers
Drexel University College of Medicine Legacy Center,OAI,Woman's Medical College of Pennsylvania faculty minutes--ACC-092,Woman's Medical College of Pennsylvania faculty minutes
Drexel University College of Medicine Legacy Center,OAI,Woman's Medical College of Pennsylvania speeches and addresses--ACC-005,Woman's Medical College of Pennsylvania speeches and addresses
Drexel University College of Medicine Legacy Center,OAI,Woman's Medical College of Pennsylvania Deans' papers: Ann Preston papers--ACC-289,Ann Preston papers
Drexel University College of Medicine Legacy Center,OAI,Woman's Medical College of Pennsylvania Deans' papers: Clara Marshall papers--ACC-292,Clara Marshall papers
Drexel University College of Medicine Legacy Center,OAI,Rachel Bodley papers--ACC-291,Rachel Bodley papers
