Contributing Repository,Phase Digitized,Collection Title,Creator,date created (W3CDTF),"date created (human readable, for approximate dates)",Extent,Identifier/Collection Number,Finding Aid Link,Subjects,Abstract,Additional Description,Research Interest,TROUBLESHOOTING
Athenaeum of Philadelphia,NEH,Sarah Josepha Hale Collection,"Hale, Sarah Josepha Buell, 1788-1879",1826-1869,,,Sarah Josepha Hale Collection,,,This collection of letters contains the correspondence of Sarah Josepha Buell Hale. It contains letters relating to both her professional and personal life and spans a 43 year period. It also contains a small number of letters between her close relatives.,"Sarah Josepha Buell Hale (1788-1879) was a major literary figure of the 19th century. Born in New Hampshire, she was educated at home and by her mother and brother, Horatio. She married a young lawyer, David Hale, who died in 1822. As a result she had to find a way to support herself and her five children. She utilized her literary skills and published a collection of poems with mild success followed by her first novel entitled Northwood in 1827. Northwood advocated the repatriation of slaves to Africa by means of Liberia and called for New England style morality throughout the nation. In 1828 she began editing The Ladies' Magazine of Boston, the first magazine for women to be edited by a woman. It had its financial difficulties and was united with Godey's Lady's Book (the majorly influential women's magazine of the 19th century) in 1837. Godey's was based in Philadelphia and she eventually she moved to Philadelphia from Boston to become more involved in her editorship of the magazine. These magazines acted as her platform to promote her moral agendas. She was a major proponent of equal education for women; however she was not a suffragist. She pushed for men and women to remain within their god-given spheres and believed women needed education to be better moral upholders of the home. Aside from being the editor of Godey's Lady's Book, she wrote many books and poems while lobbying for educational and social reform. Hale is also the author of Mary had a Little Lamb and the main person responsible for making Thanksgiving a national holiday (it was previously only celebrated in her native New England). Hale died in 1879 and was survived by four children (her oldest son died in 1839).",,
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,CLIR,Chloe Cudsworth Littlefield papers,"Cudsworth, Chloe",1883-1902,,2 linear feet,MC 144,http://hdl.library.upenn.edu/1017/d/ead/upenn_bates_PUNMC144,Diaries | Woman's Hospital of Philadelphia | Nurses | Private duty nursing,"Chloe Cudsworth Littlefield graduated from Women's Hospital of Philadelphia School of Nursing in 1883. She worked as a private duty nurse in Pennsylvania, Delaware, New York, and Massachusetts. This collection contains Littleworth's diary, correspondence, photographs, and printed items.",,"This collection is especially interesting in that it includes Littlefield's own thoughts as recorded in her diary as well as those of women with whom she corresponded, some of whom were also nurses. The Littlefield collection represents an invaluable look into the working life of one early professional nurse, offering researchers primary source material on a critical period in the development of nursing as a profession and occupation.",
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,CLIR,Mary V. Clymer papers,"Clymer, Mary V., 1888-1889",1884-1888,,2 linear feet,MC 16,http://hdl.library.upenn.edu/1017/d/ead/upenn_bates_PUNMC16,Nursing schools | Lecture notes | Hospital of the University of Pennsylvania School of Nursing,"This collection consists of notes taken by Mary V. Clymer, a nurse famous for her appearance in Thomas Eakins' painting ""The Agnew Clinic."" Clymer was a student at the Training School for Nurses at the Hospital of the University of Pennsylvania, Philadelphia, PA, from 1888 to 1889. ","The notes in this collection document the variety of experiences which were part of Clymer's educational program at the School, which included rotations in the hospital wards where she performed assigned duties under supervision of nursing school faculty and nursing staff employed by the hospital; as well as attendance at formal lectures taught by the medical school faculty. The Clymer notes were used extensively by Mary Virginia Stephenson, R.N., in writing The First Fifty Years of the Training School for Nurses of the Hospital of the University of Pennsylvania (Philadelphia: J. B. Lippincott Company, 1940). A note filed in with the Clymer papers read, ""Lecture notes taken by Mary V. Clymer 1887-1889/Mrs. George Baras [?], Given to M. V. Stephenson."" The manuscript has sometimes been cited as covering the period from 1887 to 1889; however, a close examination suggests that the notes actually date from the period between May 1888 and March 1889. The collection contains two small bound volumes. The first volume contains ward notes. Volume 1 also contains (starting from the back of the volume and working toward the middle) a rough set of lecture notes. The second volume contains a clean copy of the lecture notes which are found in Volume 1. The contents of the second volume appear to have been recopied from the draft version in Volume 1 and submitted for a grade. There is no pagination in either volume.",,
Barbara Bates Center for the Study of the History of Nursing | University of Pennsylvania School of Nursing,Pilot,"Mercy Douglass Hospital records, MC78",,1896-1977,,26 linear feet,MC 78,http://dla.library.upenn.edu/dla/pacscl/detail.html?id=PACSCL_UPENN_BATES_MC78,"African American nurses | Nursing schools | Influenza Epidemic, 1918-1919 | Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| Frederick Douglass Memorial Hospital (Philadelphia, Pa.)","The collection consists mainly of records of Mercy-Douglass Hospital, a merger of two institutions, Mercy Hospital and Fredrick Douglass Hospital, records of the school of nursing (predominantly its student files), and some 200 photographs related to both hospital and school. The collection provides important documentation of the black experience in nursing.","Pre-1920 materials in this collection are scarce, but those that do exist have much to offer. Student records (from Fredrick Douglass Hospital) digitized for In Her Own Right include applications, letters from potential students and references, transcripts, and photographs. Charting age, educational and employment background, location, religion, performance, and employment after graduation, these sources document demographics of nursing students, the subjects required for training, and the qualities associated with a successful nurse.","This collection documents the intersections of efficiency and respectability among African Americans in the Progressive-era medical field. (Indeed, a portion of nurses' transcripts was even referred to as the ""efficiency record."") Students were to be well-educated and of good moral character (and were required to provide letters of recommendation testifying to this effect), neat, clean, and of pleasing appearance, and both obedient and assertive. Drawing on these values gave young black women a way of exercising agency, even as they were class-specific.",
Bryn Mawr College,CLIR/Pilot,"M. Carey Thomas papers, 1853-1935","Thomas, M. Carey, 1857-1935",,,135 linear feet,BMC-CA-RG1-1DD2,http://www.brynmawr.edu/library/speccoll/guides/thomas.shtml,Female friendship,"The M. Carey Thomas Collection at Bryn Mawr College is comprised of documents from two principal sources: Carey Thomas's personal papers and the official records surviving from her career at Bryn Mawr College. The college archives includes Trustees' minutes, annual reports of the presidents to the Board of Trustees, faculty and administrative committee minutes, college bulletins and other publications which are not organized as presidential papers and are not included in the microfilm. The third series is the Bryn Mawr School Papers. The fourth series is comprised of six photograph albums compiled by Carrie Chapman Catt depicting the history of the women's suffrage movement. M. Carey Thomas's personal papers consist of incoming and outgoing correspondence, family letters, autobiographical papers, business records, memorabilia and other miscellaneous materials. The correspondence includes over 1,200 letters dating from 1883 to 1894 between M. Carey Thomas and her longtime companion Mary Elizabeth Garrett which were digitized for the In Her Own Right project, accounting for only a small portion of the total correspondence between these two women within this collection. Note that Bryn Mawr also holds the Mary Garrett Family Papers, (BMC-1970-01), which may be viewed at http://archives.tricolib.brynmawr.edu/repositories/6/resources/1467","This collection is particularly rich in documenting Thomas's commitment first and foremost to women's education as the basis for equality and secondarily her participation in the suffrage movement. Never one to mince words, her personality--judgmental and demanding but also indefatigable, funny, and erudite--comes across clearly even in official documents. Materials related to the college document daily goings-on, Thomas's educational philosophy, including the need for women's education in particular, and, perhaps most interestingly, her close involvement in the lives of her students. Copious documentation of her chapel addresses, which she gave several times a week, are especially fascinating. Here, she shared announcements, college business, and disciplinary actions, and she gave lessons in history, scripture, and reform. Interactions with students and ad-libs are also included. Her letters to Anna Howard Shaw and others, addresses to NAWSA conventions, and other documents identify her specific place in the suffrage movement. Firmly on the side of NAWSA in its conflict with the Congressional Union, she considered the newer group as ""hopelessly untruthful as the...anti-suffragists."" (Later, however, she supported the ERA.) Thomas's arguments in favor of suffrage often revealed a deep conservatism--she related a story of how her mother became a suffragist after she had to hold the reins for her ""ignorant negro coachman"" so he could vote and often spoke of the necessity of educated women's votes to cancel out those of ""foreign,"" ""ignorant,"" and ""criminal"" men--but she also emphasized working women's need for the vote. Carrie Chapman Catt albums, while not related to Thomas per se, provide a visual record of the movement. The letters between Thomas and Mary Elizabeth Garrett, digitized for In Her Own Right, are especially unique in that both sides of the correspondence has been preserved, creating a rich narrative via the experience of being able to read direct responses to the letters written to and from each woman. The range of years of the correspondence that Bryn Mawr College chose to digitize for the In Her Own Right project, 1883-1894, focuses heavily on the founding and running of Bryn Mawr School, Thomas's work at Bryn Mawr College, and the fundraising efforts of Garrett and Thomas for Johns Hopkins Medical School. ","This collection will be especially interesting to historians of education, especially women and education; although Thomas was involved in many other issues, even this participation was often connected to education in some way. Many of Thomas's letters, articles, and speeches were about the quality of American education more generally, although she also, of course, took a particular interest in arguing for women's education, the values of single-sex vs. coed education, and refuting the arguments of people such as Edward Clarke. From an institutional perspective, relationships between and among students, faculty, and administration--often contentious--also receive a great deal of coverage. The letters between Thomas and Mary Elizabeth Garrett, digitized for In Her Own Right, are especially unique in that both sides of the correspondence has been preserved, creating a rich narrative via the experience of being able to read direct responses to the letters written to and from each woman. The range of years of the correspondence that Bryn Mawr College chose to digitize for the In Her Own Right project, 1883-1894, focuses heavily on the founding and running of Bryn Mawr School, Thomas's work at Bryn Mawr College, and the fundraising efforts of Garrett and Thomas for Johns Hopkins Medical School. ",
Bryn Mawr College,CLIR/Pilot,"Mary Whitall Worthington papers, 1906-1911","Worthington, Mary Whitall",1907-1910,,4 volumes,BMC-9LS-Worthington,http://archives.tricolib.brynmawr.edu/resources/bmc_-9ls-worthington,Diaries | Women college students | Women--Suffrage | Women--Education (Higher)--Social aspects,"Beginning in the late spring of her freshman year at Bryn Mawr College, Mary Worthington, M. Carey Thomas's ""dear, intelligent niece,"" recorded in a clear strong hand the significant events and emotions of her college years and life as part of the Class of 1910. Bound into nine by twelve green scrapbooks with her name stamped on the front in gold letters, the diary was expanded to include photographs, invitations, play programs, examinations, clippings, and lists of books she had read. Mary Worthington's is not a mere line-a-day jotting of appointments and weather. Page after numbered page of thoughtful, often idealistic, narrative draws the reader into her life. She was young, she was an ardent suffragist, she was a member of the English Quaker Whitall family, she was a college woman shortly after the turn of the century.","These diaries are both delightful and revealing, with Worthington moving seamlessly from discussions of extracurricular activities, especially theater, handsome young men, bickering among friends, and rivalries between classes to such issues as suffrage, Free Trade, socialism, and government corruption. In describing both her own and her friends' and classmates' views, Worthington shows how a generation of young women was coming to terms with changing social and political mores, as well as some of the motivations of these second-generation Progressives. All four extant volumes have been digitized and are included in In Her Own Right.",,
Catholic Historical Research Center of the Archdiocese of Philadelphia,NEH,"Martin-Campbell-Furlong Family Papers, MC 90","Campbell, William J., 1850-1931 | Campbell, Sarah Jane, 1844-1928 | Campbell, Marianne, 1840-1913",1795-1963,,"12 boxes, 4.8 linear ft.",MC 90,https://chrcphila.pastperfectonline.com/archive/7D540EFD-732D-4CDD-BD26-513318367532,"Catholics--Pennsylvania--Philadelphia | Suffragists--United States--History--19th century | Suffragists--United States--History--20th century | World War, 1914-1918 |Family life--Pennsylvania--19th century | Family life--Pennsylvania--20th century | Philadelphia (Pa.)--Social life and customs--19th century | Philadelphia (Pa.)--Social life and customs--20th century","This collection contains papers that document several generations of the Martin, Campbell, and Furlong families with the Martin family receiving the most coverage. To a lesser extent, the Kennedy and Jenkins families, who had strong personal and mercantile ties to the Martin family, are also represented. These interrelated middle class Irish Catholic families from Philadelphia were involved in several prominent industries in the region, including overseas commerce. Devout in their religious beliefs, the families, the Campbells in particular, played a significant role in shaping Catholicity in Philadelphia. Members of the Campbell family were also actively involved in political and social movements of the nineteenth- and twentieth-centuries, including the labor movement and women's suffrage. Distinguished members of these families are represented, including suffragist and writer Sarah Jane Campbell (1844-1928). Items in the collection date from 1795 to 1939 with the majority of materials dating from the period 1825 to 1925. Most items are correspondence, family-oriented and personal in nature; also included are business, estate, and genealogical materials as well as a few photographs.",,,
The College of Physicians of Philadelphia Historical Medical Library,NEH,Sophia Perry diaries (MSS 2/325),"Perry, Sophia E.",1858-1901,1858-1901 (Bulk 1858-1865 & 1888),0.4 linear feet (1 document box (4 volumes)),MSS 2/325,https://cpparchives.org/repositories/2/resources/1200,"Diaries | Gorham (Me.) | Lincoln, Abraham, 1809-1865 -- Assassination | Maine Insane Hospital | Psychiatric hospital patients","The collection consists of four diaries, 1858-1901 (Bulk 1858-1865 & 1888), kept by Sophia E. Perry, a resident of Gorham, Me. Items found interleaved in the diaries were removed and placed in folders. The diaries document Ms. Perry's personal life. Ms. Perry kept the first through third diaries while living in Gorham. These diaries describe the weather and local events of the day. Occasionally, larger events are recorded, the most noteworthy being the assassination of U.S. President Abraham Lincoln found in the third diary on p.24. In addition, she recorded in the diaries lists of marriages, deaths, and her correspondence. Ms. Perry kept the fourth diary, 1879-1888 (Bulk 1888), while a patient at the Maine Insane Hospital in Augusta, Me. The diary describes, in part, Ms. Perry's life at the hospital but also contains a considerable amount of poetry written by her. Miscellaneous items interleaved in the fourth diary include fabric remnants, a pencil sketch of a women, newspaper clippings, an engraving of a unidentified man, and three letters received.",,,
Drexel University College of Medicine Legacy Center,NEH,Ada Peirce McCormick papers--ACC-164,"McCormick, Ada Peirce",1908-1949,,1 linear feet,Acc. 164,https://archivalcollections.drexel.edu/repositories/5/resources/2125#,,"Ada Peirce McCormick was a well known activist, lecturer, and writer who lived most of her life in Tucson, Arizona. She was born on March 28, 1888 to a wealthy lumber family in Bangor, Maine. She studied social work at the Boston School of Social Work and Radcliffe College, and married Fred C. McCormick in 1915. Living in Williamsport, Pennsylvania, McCormick gained prominence as a writer and lecturer focusing on family and marriage. In 1931, the McCormicks moved to Tucson, Arizona where in 1937 she founded the Chapel of Wandering Scholars, later to be renamed the Little Chapel of All Nations, and started publishing The Letter magazine in 1943. McCormick was a dedicated social justice advocate and civil rights advocate, and was very involved with the University of Arizona. She passed away in Tucson on August 4, 1974 and is still remembered today as a staunch advocate for her community and the civil rights of those in it. The Ada Peirce McCormick Papers consist of personal correspondence she received and professional documents pertaining to her writing and the Little Chapel of All Nations. The bulk of the correspondence is written to McCormick by Dr. Elizabeth Clark, and ranges in date from 1908-1949 although there are considerable gaps in the coverage of this time range. Other correspondents include Emma Elizabeth Musson, M.D.,Catharine Macfarlane, M.D., Frances Culbreth Van Gasken, M.D., and Elise Whitlock-Rose, M.D. Almost all copies of The Letter magazine are also included in this collection, as well as a number of other promotional materials and article reprints from The Letter. Materials pertaining to the history and publicity of the Little Chapel of All Nations are also included in this collection. There is also considerable biographical information on McCormick which includes obituaries, articles about her, and reprinted works. Almost all of this collection has been digitized, with the exception of the issues of The Letter, and material relating to the Little Chapel of All Nations.",,,
Drexel University College of Medicine Legacy Center,NEH,"American Women's Hospital Service, 1917-1920--ACC-144",American Women's Hospitals,1917-1982,,7.5 linear feet,SC.144,http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WMSC144,,"The collection contains the primary source material for a thorough institutional history of a major women's service organization that spans three-quarters of a century. Issues of professionalization, volunteerism, and social and occupational networks as they relate to women's professional and social careers are well-documented. The AWH records provide the sources to examine a classic example of a woman's association that self-consciously bridged private and public domains, actively sought to bring the resources of public associations and the state to the aid of individuals in their own communities, and, in those countries which most severely relegated women to the private household, offered women access to a professional and public career.","The Records of the American Women's Hospitals contain several types of historical material, cover a wide geographical area, and extend over a sixty-five year period. In the earliest years of the AWH, 1917-1920, the major arenas of activity were France, Albania, Greece, and the Near East. AWH personnel continued to labor extensively in the last three areas during the 1920s and 1930s and added services to Serbia, Russia, Asia, and the rural United States. The outbreak of World War II returned their attention to Western Europe as projects of emergency medical relief were made necessary in war zones. In the post-war period, the AWH worked to shift administrative and professional duties to the home country in Greece and France, and financed the training and employment of native female personnel in China, Japan, Haiti, India, Southeast Asia, and the Philippines. The most recent AWH ventures have focused on Indians in North and South America, and rural residents of the southeastern United States, curtailing emergency medical services in favor of on-going prevention programs.",,
